C_WATER;Specific Heat of Water;4,186;kJ/kgá¡C;Use for temp rise calculation;;;;;;;;;;;;;;;;;;;;;;
H_HEAT;Waste Heat in kJ/day;7.437.384;kJ/day;HFCG_HEAT _ 3.6 (kWh to kJ);;;;;;;;;;;;;;;;;;;;;;
DELTAT;Temp. Rise in Preheated Feedwater;2,220910217;¡C;H_HEAT / (WATERMASS _ C_WATER);;;;;;;;;;;;;;;;;;;;;;
EFF_GAIN;SWRO Efficiency Gain per ¡C;3;%/¡C;Industry reference;;;;Total Cost for PDAM (USD);; $112.480,66 ;USD/year;;;;;;;;;;;;;;;
PGAIN;Projected Efficiency Gain;6,663%;%;DELTAT _ EFF_GAIN;;;;Total Cost for PDAM (Rp);; Rp1.886.300.662,12 ;Rp/year;;;;;;;;;;;;;;;
ENEBASE;Baseline SWRO SEC (no WHR);3,4;kWh/m_;Reference;;;;Production Cost/m3 (Rp/m3);; Rp6.799,93 ;Rp/m3;;;;;;;;;;;;;;;
ENE_NEW;New SWRO SEC (with WHR); 3,173 ;kWh/m_;ENEBASE _ (1 _ PGAIN / 100);;;;;;;;;;;;;;;;;;;;;;
E_SAVE;Daily Energy Saved;181,23;kWh/day;(ENEBASE _ ENE_NEW) _ SWROC;;;;;;;;;;;;;;;;;;;;;;
ANNUAL_SAVE;Annual Energy Saved;66.147,59;kWh/year;E_SAVE _ 365;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
Section 3: Financial Model & Cashflow ;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Year;;;;;;;;;;;;;;;;;;;;
No.;Description;;;;;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
1;REVENUE;;;;;;;;;;;;;;;;;;;;;;;;;
;Lease/BLT Payment from PDAM;;;;;; $90.918,91 ; $90.918,91 ; $90.918,91 ; $90.918,91 ; $90.918,91 ; $90.918,91 ; $90.918,91 ; $90.918,91 ; $90.918,91 ; $90.918,91 ; $90.918,91 ; $90.918,91 ; $90.918,91 ; $90.918,91 ; $90.918,91 ; $90.918,91 ; $90.918,91 ; $90.918,91 ; $90.918,91 ; $90.918,91 
;O&M Service Fee;;;;;; $21.561,75 ; $22.100,79 ; $22.653,31 ; $23.219,65 ; $23.800,14 ; $24.395,14 ; $25.005,02 ; $25.630,15 ; $26.270,90 ; $26.927,67 ; $27.600,86 ; $28.290,88 ; $28.998,16 ; $29.723,11 ; $30.466,19 ; $31.227,84 ; $32.008,54 ; $32.808,75 ; $33.628,97 ; $34.469,70 
;;;;;;;;;;;;;;;;;;;;;;;;;;
;Total Revenue;;;;;; $112.480,66 ; $113.019,70 ; $113.572,22 ; $114.138,56 ; $114.719,05 ; $115.314,05 ; $115.923,93 ; $116.549,05 ; $117.189,81 ; $117.846,58 ; $118.519,77 ; $119.209,79 ; $119.917,07 ; $120.642,02 ; $121.385,10 ; $122.146,75 ; $122.927,45 ; $123.727,66 ; $124.547,88 ; $125.388,61 
;;;;;;;;;;;;;;;;;;;;;;;;;;
2;CAPITAL EXPENDITURE (CAPEX);;;;;;;;;;;;;;;;;;;;;;;;;
;SWRO EPC & Installation;;;;; $(400.000,00);;;;;;;;;;;;;;;;;;;;
;Balance of Plant (site, pipeline, tanks);;;;; $(60.000,00);;;;;;;;;;;;;;;;;;;;
;Land/Sea Lease and Permitting;;;;; $(2.500,00);;;;;;;;;;;;;;;;;;;;
;Other CAPEX;;;;; $(23.125,00);;;;;;;;;;;;;;;;;;;;
;Tax for CAPEX (PPn 11%);;;;; $(53.418,75);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;Total CAPEX;;;;; $(539.043,75);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
3;OPERATING EXPENDITURE (OPEX);;;;;;;;;;;;;;;;;;;;;;;;;
;Annual O&M Service Cost;;;;;; $(5.390,44); $(5.525,20); $(5.663,33); $(5.804,91); $(5.950,03); $(6.098,79); $(6.251,25); $(6.407,54); $(6.567,72); $(6.731,92); $(6.900,22); $(7.072,72); $(7.249,54); $(7.430,78); $(7.616,55); $(7.806,96); $(8.002,13); $(8.202,19); $(8.407,24); $(8.617,42)
;Insurance/Security/Asset Management;;;;;; $(1.078,09); $(1.105,04); $(1.132,67); $(1.160,98); $(1.190,01); $(1.219,76); $(1.250,25); $(1.281,51); $(1.313,54); $(1.346,38); $(1.380,04); $(1.414,54); $(1.449,91); $(1.486,16); $(1.523,31); $(1.561,39); $(1.600,43); $(1.640,44); $(1.681,45); $(1.723,48)
;Warranty Reserves or Performance Guarantee;;;;;; $(5.390,44); $(5.525,20); $(5.663,33); $(5.804,91); $(5.950,03); $(6.098,79); $(6.251,25); $(6.407,54); $(6.567,72); $(6.731,92); $(6.900,22); $(7.072,72); $(7.249,54); $(7.430,78); $(7.616,55); $(7.806,96); $(8.002,13); $(8.202,19); $(8.407,24); $(8.617,42)
;Major Replacement/Refurbishment;;;;;;;;;;;; $(36.000,00);;;;;;; $(42.792,69);;;;;;
;Admin/Legal Compliance;;;;;; $(1.078,09); $(1.105,04); $(1.132,67); $(1.160,98); $(1.190,01); $(1.219,76); $(1.250,25); $(1.281,51); $(1.313,54); $(1.346,38); $(1.380,04); $(1.414,54); $(1.449,91); $(1.486,16); $(1.523,31); $(1.561,39); $(1.600,43); $(1.640,44); $(1.681,45); $(1.723,48)
;;;;;;;;;;;;;;;;;;;;;;;;;;
;Total OPEX;;;;;; $(12.937,05); $(13.260,48); $(13.591,99); $(13.931,79); $(14.280,08); $(14.637,08); $(51.003,01); $(15.378,09); $(15.762,54); $(16.156,60); $(16.560,52); $(16.974,53); $(17.398,89); $(60.626,55); $(18.279,71); $(18.736,71); $(19.205,12); $(19.685,25); $(20.177,38); $(20.681,82)
;;;;;;;;;;;;;;;;;;;;;;;;;;
4;Technical Production;;;;;;;;;;;;;;;;;;;;;;;;;
;Water output (m3);;;;;; 277.400,0 ; 277.400,0 ; 277.400,0 ; 277.400,0 ; 277.400,0 ; 277.400,0 ; 277.400,0 ; 277.400,0 ; 277.400,0 ; 277.400,0 ; 277.400,0 ; 277.400,0 ; 277.400,0 ; 277.400,0 ; 277.400,0 ; 277.400,0 ; 277.400,0 ; 277.400,0 ; 277.400,0 ; 277.400,0 
;Brine output (m3);;;;;; 226.963,6 ; 226.963,6 ; 226.963,6 ; 226.963,6 ; 226.963,6 ; 226.963,6 ; 226.963,6 ; 226.963,6 ; 226.963,6 ; 226.963,6 ; 226.963,6 ; 226.963,6 ; 226.963,6 ; 226.963,6 ; 226.963,6 ; 226.963,6 ; 226.963,6 ; 226.963,6 ; 226.963,6 ; 226.963,6 
;Annual CO2 avoided;;;;;; 836,3 ; 836,3 ; 836,3 ; 836,3 ; 836,3 ; 836,3 ; 836,3 ; 836,3 ; 836,3 ; 836,3 ; 836,3 ; 836,3 ; 836,3 ; 836,3 ; 836,3 ; 836,3 ; 836,3 ; 836,3 ; 836,3 ; 836,3 
;;;;;;;;;;;;;;;;;;;;;;;;;;
4;EBITDA (Earnings before interest, tax, depreciation, amortization);;;;;;;;;;;;;;;;;;;;;;;;;
;EBITDA;;;;;; $99.543,61 ; $99.759,23 ; $99.980,24 ; $100.206,77 ; $100.438,96 ; $100.676,97 ; $64.920,92 ; $101.170,97 ; $101.427,27 ; $101.689,98 ; $101.959,25 ; $102.235,26 ; $102.518,17 ; $60.015,47 ; $103.105,38 ; $103.410,05 ; $103.722,33 ; $104.042,41 ; $104.370,50 ; $104.706,79 
;Depreciation & Amortization;;;;;; $(26.952,19); $(26.952,19); $(26.952,19); $(26.952,19); $(26.952,19); $(26.952,19); $(26.952,19); $(26.952,19); $(26.952,19); $(26.952,19); $(26.952,19); $(26.952,19); $(26.952,19); $(26.952,19); $(26.952,19); $(26.952,19); $(26.952,19); $(26.952,19); $(26.952,19); $(26.952,19)
;EBIT (Earnings before interest and tax);;;;;; $72.591,42 ; $72.807,04 ; $73.028,05 ; $73.254,58 ; $73.486,78 ; $73.724,78 ; $37.968,73 ; $74.218,78 ; $74.475,08 ; $74.737,79 ; $75.007,07 ; $75.283,08 ; $75.565,98 ; $33.063,28 ; $76.153,20 ; $76.457,86 ; $76.770,14 ; $77.090,22 ; $77.418,31 ; $77.754,60 
;;;;;;;;;;;;;;;;;;;;;;;;;;
;Opening Balance;;;;;; $161.713,13 ; $157.768,47 ; $153.547,69 ; $149.031,45 ; $144.199,08 ; $139.028,44 ; $133.495,85 ; $127.575,99 ; $121.241,73 ; $114.464,08 ; $107.211,99 ; $99.452,25 ; $91.149,33 ; $82.265,21 ; $72.759,20 ; $62.587,77 ; $51.704,34 ; $40.059,07 ; $27.598,63 ; $14.265,96 
;Loan Repayment ;;;;;; $(15.264,57); $(15.264,57); $(15.264,57); $(15.264,57); $(15.264,57); $(15.264,57); $(15.264,57); $(15.264,57); $(15.264,57); $(15.264,57); $(15.264,57); $(15.264,57); $(15.264,57); $(15.264,57); $(15.264,57); $(15.264,57); $(15.264,57); $(15.264,57); $(15.264,57); $(15.264,57)
;Interest;;;;;; $(11.319,92); $(11.043,79); $(10.748,34); $(10.432,20); $(10.093,94); $(9.731,99); $(9.344,71); $(8.930,32); $(8.486,92); $(8.012,49); $(7.504,84); $(6.961,66); $(6.380,45); $(5.758,56); $(5.093,14); $(4.381,14); $(3.619,30); $(2.804,13); $(1.931,90); $(998,62)
;Principal;;;;;; $3.944,66 ; $4.220,78 ; $4.516,24 ; $4.832,37 ; $5.170,64 ; $5.532,58 ; $5.919,87 ; $6.334,26 ; $6.777,65 ; $7.252,09 ; $7.759,74 ; $8.302,92 ; $8.884,12 ; $9.506,01 ; $10.171,43 ; $10.883,43 ; $11.645,27 ; $12.460,44 ; $13.332,67 ; $14.265,96 
;Closing Balance;;;;;; $157.768,47 ; $153.547,69 ; $149.031,45 ; $144.199,08 ; $139.028,44 ; $133.495,85 ; $127.575,99 ; $121.241,73 ; $114.464,08 ; $107.211,99 ; $99.452,25 ; $91.149,33 ; $82.265,21 ; $72.759,20 ; $62.587,77 ; $51.704,34 ; $40.059,07 ; $27.598,63 ; $14.265,96 ; $0,00 
;;;;;;;;;;;;;;;;;;;;;;;;;;
;Tax;;;;;; $(13.479,73); $(13.587,91); $(13.701,54); $(13.820,92); $(13.946,43); $(14.078,41); $(6.297,28); $(14.363,46); $(14.517,40); $(14.679,57); $(14.850,49); $(15.030,71); $(15.220,82); $(6.007,04); $(15.633,21); $(15.856,88); $(16.093,18); $(16.342,94); $(16.607,01); $(16.886,32)
;;;;;;;;;;;;;;;;;;;;;;;;;;
5;NET PROFIT;;;;; $(539.043,75); $47.791,77 ; $48.175,33 ; $48.578,17 ; $49.001,46 ; $49.446,42 ; $49.914,37 ; $22.326,74 ; $50.925,00 ; $51.470,77 ; $52.045,74 ; $52.651,74 ; $53.290,71 ; $53.964,71 ; $21.297,68 ; $55.426,84 ; $56.219,84 ; $57.057,65 ; $57.943,15 ; $58.879,40 ; $59.869,67 
;Free Cash Flow to Equity (FCFE);;;;; $(539.043,75); $70.799,30 ; $70.906,74 ; $71.014,12 ; $71.121,27 ; $71.227,96 ; $71.333,98 ; $43.359,06 ; $71.542,93 ; $71.645,30 ; $71.745,84 ; $71.844,19 ; $71.939,98 ; $72.032,78 ; $38.743,85 ; $72.207,60 ; $72.288,59 ; $72.364,57 ; $72.434,90 ; $72.498,91 ; $72.555,90 
;Accumulated Cash Flow;;;;; $(539.043,75); $(468.244,45); $(397.337,71); $(326.323,58); $(255.202,31); $(183.974,35); $(112.640,37); $(69.281,31); $2.261,62 ; $73.906,92 ; $145.652,75 ; $217.496,94 ; $289.436,92 ; $361.469,70 ; $400.213,55 ; $472.421,15 ; $544.709,75 ; $617.074,31 ; $689.509,21 ; $762.008,12 ; $834.564,02 
;;;;;;;;;;;;;;;;;;;;;;;;;;
6;IRR;11,245%;;;;;;;;;;;;;;;;;;;;;;;;
7;NPV; $135.377,22 ;USD;(with 8% of discount rate);;;;;;;;;;;;;;;;;;;;;;
8;Payback Period;7,4;years;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;7,968387976;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;OPERATING EXPENDITURE (OPEX);;;;;;;;;;;;;;;;;;;;;;;;;
;Electricity Cost;;;;;;;;;;;;;;;;;;;;;;;;;
;Chemicals;;;;;;;;;;;;;;;;;;;;;;;;;
;Membrane/HP Pump Minor Replacement;;;;;;;;;;;;;;;;;;;;;;;;;
;Labor/Admin;;;;;;;;;;;;;;;;;;;;;;;;;
;Insurance, Security;;;;;;;;;;;;;;;;;;;;;;;;;
;Major Replacement (year 6/12);;;;;;;;;;;;;;;;;;;;;;;;;
;O&M Fee (if paid to FWC);;;;;;;;;;;;;;;;;;;;;;;;;
;Total OPEX;;;;;;;;;;;;;;;;;;;;;;;;;
